Москва, 2612
Московская область, 605
СанктПетербург, 215
Мурманская область, 193
Республика Дагестан, 157
Нижегородская область, 118
Краснодарский край, 84
Тульская область, 73
Челябинская область, 72
Калужская область, 69
Республика Татарстан, 65
Рязанская область, 64
Алтайский край, 63
Оренбургская область, 56
Пермский край, 55
Ростовская область, 51
Республика Хакасия, 49
КарачаевоЧеркесская Республика, 46
Владимирская область, 45
Тамбовская область, 45
Республика Мордовия, 45
Курская область, 44
Ленинградская область, 43
Республика Ингушетия, 41
Кировская область, 40
Новосибирская область, 38
Ярославская область, 37
ЯмалоНенецкий АО, 37
Республика Башкортостан, 35
Чувашская Республика, 35
Приморский край, 34
Свердловская область, 33
Республика Северная Осетия, 30
Республика Марий Эл, 30
Тверская область, 29
КабардиноБалкарская Республика, 29
Хабаровский край, 28
Брянская область, 27
Ставропольский край, 27
Ульяновская область, 27
Волгоградская область, 26
Орловская область, 25
Астраханская область, 25
Самарская область, 24
Пензенская область, 23
Воронежская область, 22
Чеченская Республика, 22
Липецкая область, 21
Калининградская область, 21
Саратовская область, 20
Белгородская область, 19
Республика Калмыкия, 18
Красноярский край, 18
Костромская область, 17
Смоленская область, 17
Тюменская область, 17
Ивановская область, 16
ХантыМансийский АО, 16
Новгородская область, 15
Удмуртская Республика, 15
Республика Бурятия, 13
Псковская область, 12
Архангельская область, 10
Забайкальский край, 10
Вологодская область, 9
Республика Тыва, 9
Магаданская область, 9
Республика Коми, 8
Томская область, 7
Кемеровская область, 6
Еврейская АО, 6
Республика Карелия, 5
Курганская область, 5
Республика Алтай, 5
Иркутская область, 5
Амурская область, 5
Омская область, 4
Республика Саха (Якутия), 4
Республика Крым, 4
Камчатский край, 3
Республика Адыгея, 2
Чукотский АО, 1
гСевастополь, 1
