Москва, 5858
Московская область, 829
СанктПетербург, 312
Нижегородская область, 272
Республика Дагестан, 181
Мурманская область, 136
КабардиноБалкарская Республика, 105
ЯмалоНенецкий АО, 105
Республика Татарстан, 102
Калужская область, 98
Саратовская область, 98
Краснодарский край, 97
Республика Северная Осетия, 93
Рязанская область, 84
Ростовская область, 81
Самарская область, 81
Брянская область, 80
Тульская область, 77
Свердловская область, 76
Волгоградская область, 69
Тюменская область, 69
Курская область, 67
Новосибирская область, 63
Тамбовская область, 62
Владимирская область, 57
Орловская область, 57
Республика Мордовия, 54
Республика Ингушетия, 52
Ярославская область, 51
Ленинградская область, 51
Приморский край, 49
Чувашская Республика, 48
Липецкая область, 46
Тверская область, 44
Челябинская область, 44
Республика Бурятия, 43
Красноярский край, 42
Ставропольский край, 40
Оренбургская область, 39
Хабаровский край, 39
Республика Марий Эл, 33
Алтайский край, 33
Пензенская область, 32
Иркутская область, 31
Воронежская область, 30
Чеченская Республика, 30
Республика Калмыкия, 29
Астраханская область, 29
Ульяновская область, 29
ХантыМансийский АО, 29
Республика Коми, 28
Пермский край, 25
Архангельская область, 24
Республика Башкортостан, 24
Забайкальский край, 23
Республика Хакасия, 22
Ивановская область, 20
Новгородская область, 18
Калининградская область, 17
Кировская область, 17
Республика Саха (Якутия), 17
Республика Крым, 17
Белгородская область, 16
Костромская область, 15
Кемеровская область, 14
Томская область, 13
Республика Карелия, 12
Псковская область, 12
Республика Адыгея, 12
Удмуртская Республика, 12
Амурская область, 8
Вологодская область, 6
Омская область, 6
г Севастополь, 6
Магаданская область, 5
Еврейская АО, 5
КарачаевоЧеркесская Республика, 4
Смоленская область, 1
Курганская область, 1
Республика Алтай, 1
Камчатский край, 1
Чукотский АО, 1
