Москва, 5667
Московская область, 1075
СанктПетербург, 425
Нижегородская область, 294
Свердловская область, 121
Красноярский край, 106
Волгоградская область, 102
Краснодарский край, 98
Республика Дагестан, 92
Тамбовская область, 90
Республика Татарстан, 88
Тульская область, 86
Рязанская область, 85
Республика Башкортостан, 84
Ульяновская область, 84
Ростовская область, 80
Ленинградская область, 79
КабардиноБалкарская Республика, 79
Калужская область, 77
Новосибирская область, 76
Самарская область, 75
Курская область, 71
Челябинская область, 70
Республика Северная Осетия, 69
Ставропольский край, 69
Чувашская Республика, 63
Ярославская область, 58
Саратовская область, 57
ЯмалоНенецкий АО, 51
Орловская область, 50
Республика Калмыкия, 50
Липецкая область, 49
Оренбургская область, 48
Республика Мордовия, 47
Белгородская область, 46
Пензенская область, 45
Приморский край, 45
Республика Ингушетия, 44
Астраханская область, 44
Воронежская область, 43
Кировская область, 43
ХантыМансийский АО, 43
Владимирская область, 42
Хабаровский край, 41
Республика Саха (Якутия), 40
Тверская область, 38
Республика Марий Эл, 37
Республика Хакасия, 36
Калининградская область, 34
КарачаевоЧеркесская Республика, 31
Республика Бурятия, 30
Архангельская область, 28
Чеченская Республика, 28
Ивановская область, 26
Брянская область, 23
Тюменская область, 23
Смоленская область, 22
Омская область, 22
Алтайский край, 20
Мурманская область, 18
Пермский край, 16
Иркутская область, 16
Томская область, 15
Вологодская область, 14
Новгородская область, 12
Амурская область, 12
Костромская область, 10
Республика Коми, 10
Республика Алтай, 10
Кемеровская область, 10
Забайкальский край, 10
Камчатский край, 10
Республика Крым, 9
Республика Адыгея, 8
Магаданская область, 8
Псковская область, 7
Удмуртская Республика, 7
Курганская область, 6
Сахалинская область, 6
Еврейская АО, 5
Республика Тыва, 4
Республика Карелия, 3
Чукотский АО, 1
г Севастополь, 1
