Москва, 1774
Московская область, 272
Мурманская область, 137
СанктПетербург, 130
Ленинградская область, 108
Республика Коми, 97
Республика Ингушетия, 56
Смоленская область, 51
Нижегородская область, 47
Владимирская область, 45
Тульская область, 45
Тверская область, 42
Чеченская Республика, 41
Курская область, 31
Республика Марий Эл, 27
Пермский край, 27
Ивановская область, 25
Калужская область, 25
Краснодарский край, 24
Хабаровский край, 23
Брянская область, 22
Ставропольский край, 20
Республика Башкортостан, 20
Ульяновская область, 18
Тюменская область, 18
Астраханская область, 17
Новосибирская область, 17
Пензенская область, 16
ХантыМансийский АО, 15
Чувашская Республика, 13
Кировская область, 13
Ярославская область, 12
Свердловская область, 12
Липецкая область, 11
Красноярский край, 11
Костромская область, 9
Удмуртская Республика, 8
Воронежская область, 7
КарачаевоЧеркесская Республика, 7
Саратовская область, 7
ЯмалоНенецкий АО, 7
Республика Саха (Якутия), 7
Псковская область, 6
Ростовская область, 6
Курганская область, 6
Республика Бурятия, 6
Республика Хакасия, 6
Калининградская область, 5
Республика Дагестан, 5
Белгородская область, 4
Республика Карелия, 4
Приморский край, 4
Республика Калмыкия, 3
Челябинская область, 3
Алтайский край, 3
Вологодская область, 2
Омская область, 2
Республика Крым, 2
Ненецкий автономный округ, 1
Волгоградская область, 1
Оренбургская область, 1
Кемеровская область, 1
Сахалинская область, 1
Чукотский АО, 1
г Севастополь, 1
