Москва, 2971
Московская область, 576
Нижегородская область, 153
СанктПетербург, 151
Мурманская область, 105
Республика Дагестан, 103
Брянская область, 78
Краснодарский край, 73
Республика Татарстан, 71
Калужская область, 70
Алтайский край, 68
Курская область, 67
Тульская область, 66
Астраханская область, 66
Ростовская область, 65
Рязанская область, 63
Челябинская область, 62
Пермский край, 61
Свердловская область, 58
Новосибирская область, 58
Тамбовская область, 56
Владимирская область, 49
Республика Мордовия, 49
Кировская область, 46
ЯмалоНенецкий АО, 45
Республика Северная Осетия, 43
Орловская область, 42
Ярославская область, 42
Ленинградская область, 42
КарачаевоЧеркесская Республика, 42
ХантыМансийский АО, 41
Красноярский край, 41
Саратовская область, 40
Чувашская Республика, 38
Республика Ингушетия, 37
Республика Башкортостан, 37
Ставропольский край, 36
Волгоградская область, 30
КабардиноБалкарская Республика, 28
Ульяновская область, 27
Хабаровский край, 27
Калининградская область, 26
Воронежская область, 25
Новгородская область, 25
Республика Хакасия, 25
Республика Калмыкия, 24
Республика Марий Эл, 24
Приморский край, 24
Тверская область, 23
Камчатский край, 23
Липецкая область, 22
Чеченская Республика, 22
Белгородская область, 21
Кемеровская область, 21
Архангельская область, 20
Самарская область, 20
Республика Коми, 17
Псковская область, 17
Оренбургская область, 16
Республика Адыгея, 15
Тюменская область, 12
Ивановская область, 11
Костромская область, 11
Республика Саха (Якутия), 11
Смоленская область, 10
Республика Крым, 10
Удмуртская Республика, 9
Вологодская область, 7
Забайкальский край, 7
Пензенская область, 6
Республика Бурятия, 6
Севастополь, 5
Омская область, 4
Республика Тыва, 3
Амурская область, 3
Чукотский АО, 3
Республика Карелия, 2
Курганская область, 2
Иркутская область, 2
Ненецкий автономный округ, 1
Республика Алтай, 1
Томская область, 1
Магаданская область, 1
