Москва, 4712
Московская область, 918
СанктПетербург, 460
Нижегородская область, 238
Ивановская область, 102
Тульская область, 98
Республика Дагестан, 98
Калужская область, 97
Краснодарский край, 97
Волгоградская область, 96
Саратовская область, 96
Рязанская область, 89
Оренбургская область, 89
Республика Башкортостан, 88
Ярославская область, 87
Тамбовская область, 86
Самарская область, 84
Брянская область, 82
Ульяновская область, 80
Чувашская Республика, 79
Ростовская область, 78
Курская область, 76
Новосибирская область, 76
КабардиноБалкарская Республика, 73
ЯмалоНенецкий АО, 73
Ставропольский край, 72
Республика Северная Осетия, 70
Ленинградская область, 69
Свердловская область, 64
Республика Татарстан, 61
ХантыМансийский АО, 61
Орловская область, 57
Белгородская область, 52
Хабаровский край, 51
Республика Бурятия, 49
Приморский край, 49
Липецкая область, 46
Забайкальский край, 46
Владимирская область, 45
Воронежская область, 45
Астраханская область, 45
Пензенская область, 45
Челябинская область, 44
Пермский край, 42
Архангельская область, 41
Тюменская область, 41
Республика Ингушетия, 39
Республика Тыва, 39
Алтайский край, 39
Республика Марий Эл, 37
Смоленская область, 36
Калининградская область, 36
Республика Калмыкия, 35
Республика Саха (Якутия), 35
Республика Мордовия, 34
Омская область, 34
Костромская область, 31
Республика Крым, 30
КарачаевоЧеркесская Республика, 27
Иркутская область, 26
Чеченская Республика, 24
Мурманская область, 21
Красноярский край, 21
Тверская область, 20
Новгородская область, 15
Кировская область, 15
Кемеровская область, 13
Республика Карелия, 12
Вологодская область, 12
Псковская область, 12
Амурская область, 12
Камчатский край, 11
Курганская область, 9
Томская область, 9
Республика Коми, 8
Республика Хакасия, 8
Удмуртская Республика, 7
Еврейская АО, 6
Республика Адыгея, 5
Республика Алтай, 3
Сахалинская область, 2
Севастополь, 2
Магаданская область, 1
Чукотский АО, 1
