Москва, 2830
Московская область, 817
СанктПетербург, 363
Нижегородская область, 228
Свердловская область, 207
Ростовская область, 203
Архангельская область, 169
Красноярский край, 148
Иркутская область, 112
Калужская область, 105
Тульская область, 105
Брянская область, 99
Ярославская область, 94
ХантыМансийский АО, 94
Ульяновская область, 92
Новгородская область, 89
Республика Дагестан, 89
Краснодарский край, 89
Пензенская область, 89
КабардиноБалкарская Республика, 88
Волгоградская область, 88
Республика Саха (Якутия), 88
Самарская область, 87
Новосибирская область, 87
Рязанская область, 85
Чувашская Республика, 85
Смоленская область, 84
Республика Башкортостан, 79
Алтайский край, 79
Белгородская область, 76
Орловская область, 75
Тамбовская область, 75
Ставропольский край, 75
Липецкая область, 68
Курская область, 67
Саратовская область, 65
Воронежская область, 63
Республика Татарстан, 63
Забайкальский край, 62
Хабаровский край, 62
ЯмалоНенецкий АО, 59
Ленинградская область, 58
Владимирская область, 57
Республика Северная Осетия, 57
Астраханская область, 57
Оренбургская область, 54
Республика Тыва, 54
Омская область, 53
Калининградская область, 50
Кировская область, 47
Мурманская область, 45
Республика Бурятия, 45
Республика Ингушетия, 43
Тюменская область, 42
Республика Марий Эл, 41
Пермский край, 41
Приморский край, 40
Республика Мордовия, 38
Ивановская область, 37
Челябинская область, 36
Вологодская область, 34
КарачаевоЧеркесская Республика, 31
Томская область, 28
Республика Адыгея, 25
Республика Хакасия, 23
Костромская область, 21
Чеченская Республика, 21
Удмуртская Республика, 20
Камчатский край, 20
Псковская область, 16
Амурская область, 16
Тверская область, 15
Республика Карелия, 15
Кемеровская область, 13
Республика Коми, 9
Курганская область, 6
Республика Крым, 6
Сахалинская область, 5
Еврейская АО, 5
Магаданская область, 4
Ненецкий АО, 2
Республика Алтай, 2
Севастополь, 1
