Москва, 3093
Московская область, 793
СанктПетербург, 336
Республика Дагестан, 158
Нижегородская область, 150
Брянская область, 118
Калужская область, 113
Мурманская область, 101
Республика Северная Осетия, 93
Тульская область, 92
Ростовская область, 79
Тамбовская область, 75
Республика Башкортостан, 75
Свердловская область, 74
Республика Татарстан, 71
Курская область, 68
Челябинская область, 67
Краснодарский край, 66
Красноярский край, 57
ЯмалоНенецкий АО, 54
Ленинградская область, 51
Чувашская Республика, 47
Саратовская область, 46
КабардиноБалкарская Республика, 44
Республика Ингушетия, 43
Ставропольский край, 43
Рязанская область, 40
Пензенская область, 40
Самарская область, 40
Республика Мордовия, 39
Хабаровский край, 38
Приморский край, 36
Владимирская область, 35
Новосибирская область, 35
Воронежская область, 34
Алтайский край, 34
Ивановская область, 32
Калининградская область, 32
Липецкая область, 31
Волгоградская область, 31
Республика Марий Эл, 31
Белгородская область, 28
Орловская область, 27
Кировская область, 27
Оренбургская область, 27
Ульяновская область, 27
Смоленская область, 26
Республика Бурятия, 26
Республика Саха (Якутия), 24
Камчатский край, 24
Ярославская область, 23
КарачаевоЧеркесская Республика, 22
ХантыМансийский АО, 21
Чеченская Республика, 20
Пермский край, 19
Костромская область, 18
Тверская область, 17
Астраханская область, 15
Тюменская область, 15
Архангельская область, 13
Новгородская область, 13
Кемеровская область, 12
Удмуртская Республика, 11
Республика Коми, 10
Омская область, 10
Амурская область, 10
Республика Крым, 10
Республика Адыгея, 9
Республика Калмыкия, 9
Вологодская область, 7
Псковская область, 7
Еврейская АО, 6
Забайкальский край, 5
Республика Хакасия, 4
Иркутская область, 4
Республика Карелия, 3
Ненецкий автономный округ, 3
Республика Алтай, 2
Республика Тыва, 2
Томская область, 2
Магаданская область, 2
Курганская область, 1
Сахалинская область, 1
Чукотский АО, 1
гСевастополь, 1
