Москва, 6169
Московская область, 1079
СанктПетербург, 307
Нижегородская область, 291
Смоленская область, 164
Республика Дагестан, 119
Свердловская область, 108
Калужская область, 98
Краснодарский край, 98
Рязанская область, 96
Саратовская область, 92
Белгородская область, 91
Тамбовская область, 91
Республика Татарстан, 90
Ростовская область, 88
Тульская область, 86
Ивановская область, 85
ХантыМансийский АО, 84
КабардиноБалкарская Республика, 80
Ярославская область, 78
Владимирская область, 77
Челябинская область, 77
Республика Башкортостан, 76
Чувашская Республика, 76
Курская область, 74
Брянская область, 73
Республика Северная Осетия, 72
Новосибирская область, 71
Томская область, 69
Ленинградская область, 66
Самарская область, 66
Орловская область, 64
ЯмалоНенецкий АО, 62
Красноярский край, 58
Воронежская область, 51
Приморский край, 51
Республика Бурятия, 50
Волгоградская область, 49
Оренбургская область, 49
Липецкая область, 48
Республика Ингушетия, 46
Мурманская область, 45
Республика Мордовия, 42
Ульяновская область, 41
Республика Хакасия, 41
Республика Саха (Якутия), 41
Калининградская область, 40
Забайкальский край, 39
Хабаровский край, 39
Пензенская область, 38
Алтайский край, 38
Ставропольский край, 34
Астраханская область, 33
Архангельская область, 32
Тверская область, 31
Тюменская область, 29
Чеченская Республика, 28
Кировская область, 28
Республика Марий Эл, 25
Иркутская область, 24
Омская область, 23
Республика Коми, 21
Республика Калмыкия, 21
Удмуртская Республика, 19
Кемеровская область, 18
Новгородская область, 17
Республика Адыгея, 17
Костромская область, 15
Псковская область, 15
Республика Карелия, 12
Вологодская область, 12
КарачаевоЧеркесская Республика, 12
Республика Тыва, 12
Амурская область, 12
Пермский край, 10
Камчатский край, 8
Курганская область, 6
Еврейская АО, 6
Республика Крым, 4
Севастополь, 4
Республика Алтай, 2
Ненецкий АО, 1
Сахалинская область, 1
Чукотский АО, 1
