Москва, 33
Республика Саха (Якутия), 6
СанктПетербург, 4
Самарская область, 4
Кировская область, 2
Новосибирская область, 2
Московская область, 1
Ульяновская область, 1
Тюменская область, 1
69 075 человек, по состоянию на 19032020 под, контролем
