Москва, 3570
Московская область, 709
Нижегородская область, 129
СанктПетербург, 114
Архангельская область, 68
Республика Мордовия, 60
Тульская область, 58
Краснодарский край, 48
Чеченская Республика, 44
Оренбургская область, 44
Республика Марий Эл, 43
Рязанская область, 42
Республика Ингушетия, 42
Тюменская область, 42
Республика Саха (Якутия), 41
Кировская область, 39
Хабаровский край, 38
Калужская область, 37
Республика Дагестан, 35
Ростовская область, 35
Тверская область, 33
Мурманская область, 33
Республика Татарстан, 31
Ленинградская область, 29
Чувашская Республика, 29
Пермский край, 28
Владимирская область, 27
Воронежская область, 26
Курская область, 26
Республика Северная Осетия, 26
Астраханская область, 24
Красноярский край, 24
Брянская область, 23
Ставропольский край, 23
Тамбовская область, 22
КабардиноБалкарская Республика, 22
Республика Хакасия, 22
Новосибирская область, 22
Смоленская область, 21
Липецкая область, 20
Ивановская область, 19
Новгородская область, 18
КарачаевоЧеркесская Республика, 17
Саратовская область, 16
Самарская область, 15
Свердловская область, 15
Волгоградская область, 14
ХантыМансийский АО, 14
Костромская область, 13
Орловская область, 13
Приморский край, 13
Ярославская область, 12
Калининградская область, 11
Ульяновская область, 11
ЯмалоНенецкий АО, 10
Белгородская область, 9
Алтайский край, 9
Кемеровская область, 9
Республика Коми, 7
Вологодская область, 7
Республика Адыгея, 7
Республика Калмыкия, 7
Челябинская область, 7
Томская область, 5
Камчатский край, 5
Республика Карелия, 4
Удмуртская Республика, 4
Республика Тыва, 4
Республика Бурятия, 3
Псковская область, 2
Омская область, 2
Амурская область, 2
Республика Крым, 2
Иркутская область, 1
Забайкальский край, 1
Магаданская область, 1
Еврейская АО, 1
г Севастополь, 1
