Москва, 2649
Московская область, 428
СанктПетербург, 139
Республика Мордовия, 62
Чеченская Республика, 60
Нижегородская область, 59
Ставропольский край, 54
Тверская область, 49
Краснодарский край, 45
Красноярский край, 45
Республика Дагестан, 44
Магаданская область, 44
Рязанская область, 41
Республика Марий Эл, 40
Республика Башкортостан, 39
Тюменская область, 39
Хабаровский край, 38
Республика Ингушетия, 36
Астраханская область, 35
Орловская область, 34
Ленинградская область, 34
ХантыМансийский АО, 33
Тамбовская область, 32
Тульская область, 30
Калужская область, 29
Республика Северная Осетия, 29
Ростовская область, 29
Брянская область, 28
Чувашская Республика, 27
Пермский край, 26
Курская область, 25
Ярославская область, 24
Воронежская область, 22
КабардиноБалкарская, 22
Липецкая область, 21
Пензенская область, 21
Кировская область, 20
Оренбургская область, 20
Республика Коми, 19
Ульяновская область, 19
Приморский край, 18
Волгоградская область, 17
Республика Татарстан, 16
Владимирская область, 15
Ивановская область, 15
Республика Калмыкия, 14
Смоленская область, 13
Белгородская область, 11
Калининградская область, 11
Саратовская область, 11
Свердловская область, 11
Алтайский край, 10
Новосибирская область, 10
Вологодская область, 9
Республика Бурятия, 9
Республика Саха (Якутия), 9
Республика Хакасия, 8
Мурманская область, 7
Иркутская область, 7
Костромская область, 6
Республика Карелия, 6
Новгородская область, 6
Архангельская область, 5
Псковская область, 5
Республика Адыгея, 5
ЯмалоНенецкий АО, 5
Омская область, 5
Удмуртская Республика, 4
Челябинская область, 4
Кемеровская область, 4
Томская область, 3
Забайкальский край, 3
Амурская область, 3
Еврейская АО, 3
Республика Крым, 3
Республика Горный Алтай, 1
КарачаевоЧеркесская, 1
Самарская область, 1
Курганская область, 1
