Москва, 1355
Московская область, 495
СанктПетербург, 121
Тверская область, 44
Краснодарский край, 41
Нижегородская область, 30
Ростовская область, 26
Красноярский край, 25
Республика Башкортостан, 23
Оренбургская область, 20
Рязанская область, 18
Пензенская область, 17
Ленинградская область, 16
Республика Мордовия, 16
Ульяновская область, 16
Курская область, 15
КабардиноБалкарская Республика, 15
Чувашская Республика, 15
Кировская область, 15
Тюменская область, 14
Хабаровский край, 14
Владимирская область, 13
Ставропольский край, 12
Воронежская область, 11
Тульская область, 11
Республика Татарстан, 11
Калужская область, 10
Республика Марий Эл, 10
Новгородская область, 8
Новосибирская область, 8
Архангельская область, 7
Свердловская область, 7
Иркутская область, 7
Ивановская область, 6
Липецкая область, 6
Волгоградская область, 6
Забайкальский край, 6
Орловская область, 5
Псковская область, 5
Республика Ингушетия, 5
Самарская область, 5
Смоленская область, 4
Калининградская область, 4
ЯмалоНенецкий АО, 4
Республика Бурятия, 4
Томская область, 4
Приморский край, 4
Челябинская область, 3
Республика Саха (Якутия), 3
КарачаевоЧеркесская Республика, 2
Чеченская Республика, 2
Саратовская область, 2
Алтайский край, 2
Кемеровская область, 2
Брянская область, 1
Республика Карелия, 1
Вологодская область, 1
Астраханская область, 1
Омская область, 1
Магаданская область, 1
Еврейская АО, 1
Республика Крым, 1
