Москва, 2548
Московская область, 631
СанктПетербург, 294
Рязанская область, 76
Республика Татарстан, 75
Калужская область, 72
Мурманская область, 71
Нижегородская область, 69
Приморский край, 62
Тульская область, 52
Ростовская область, 52
Брянская область, 49
Республика Дагестан, 46
Республика Ингушетия, 43
Ленинградская область, 41
Орловская область, 40
КарачаевоЧеркесская Республика, 39
Смоленская область, 36
Курская область, 34
Республика Северная Осетия, 34
Удмуртская Республика, 34
Республика Мордовия, 30
Пермский край, 29
Тюменская область, 29
Хабаровский край, 29
Кировская область, 28
Оренбургская область, 28
Республика Бурятия, 28
Тверская область, 27
Чувашская Республика, 27
Новгородская область, 26
Воронежская область, 25
Республика Башкортостан, 25
Липецкая область, 24
КабардиноБалкарская Республика, 23
Белгородская область, 22
Республика Марий Эл, 22
Саратовская область, 22
Красноярский край, 22
Республика Коми, 20
Чеченская Республика, 20
Краснодарский край, 20
Калининградская область, 19
Тамбовская область, 18
Пензенская область, 16
Новосибирская область, 16
Камчатский край, 15
Владимирская область, 13
Ивановская область, 12
Самарская область, 12
Ярославская область, 11
Республика Калмыкия, 11
Ставропольский край, 11
Астраханская область, 11
Волгоградская область, 11
Забайкальский край, 11
Свердловская область, 10
Челябинская область, 10
Ульяновская область, 9
Алтайский край, 9
Кемеровская область, 9
Еврейская АО, 9
Костромская область, 7
Вологодская область, 7
Иркутская область, 7
ХантыМансийский АО, 6
Томская область, 6
Республика Адыгея, 5
Республика Саха (Якутия), 5
Псковская область, 4
Омская область, 4
Чукотский АО, 4
ЯмалоНенецкий АО, 3
Республика Хакасия, 3
Амурская область, 3
Архангельская область, 2
Магаданская область, 2
г Севастополь, 1
