Москва, 1959
Московская область, 688
СанктПетербург, 191
Мурманская область, 97
ЯмалоНенецкий АО, 94
Нижегородская область, 73
Ростовская область, 71
Ярославская область, 65
Брянская область, 60
Краснодарский край, 58
Республика Татарстан, 57
Ставропольский край, 55
Калужская область, 53
Владимирская область, 46
Чувашская Республика, 43
Ленинградская область, 39
Республика Ингушетия, 39
Саратовская область, 39
Хабаровский край, 38
Рязанская область, 37
Республика Дагестан, 37
Красноярский край, 35
Белгородская область, 32
Курская область, 32
Ульяновская область, 32
Республика Северная Осетия, 31
Республика Мордовия, 28
Свердловская область, 28
Тверская область, 27
Республика Башкортостан, 26
Самарская область, 26
Воронежская область, 25
Липецкая область, 25
Тульская область, 25
КабардиноБалкарская Республика, 25
КарачаевоЧеркесская Республика, 24
Чеченская Республика, 24
Кировская область, 24
Тамбовская область, 23
Оренбургская область, 23
Тюменская область, 22
Пермский край, 21
Волгоградская область, 20
Приморский край, 19
Новгородская область, 17
Астраханская область, 17
Новосибирская область, 17
Костромская область, 16
Республика Коми, 15
Республика Марий Эл, 15
Пензенская область, 15
Камчатский край, 15
Ивановская область, 14
Еврейская АО, 14
ХантыМансийский АО, 12
Республика Хакасия, 12
Республика Саха (Якутия), 12
Орловская область, 11
Кемеровская область, 11
Республика Бурятия, 10
Удмуртская Республика, 9
Челябинская область, 9
Томская область, 9
Магаданская область, 9
Калининградская область, 8
Алтайский край, 8
Омская область, 8
Смоленская область, 7
Вологодская область, 6
Республика Калмыкия, 6
г Севастополь, 6
Республика Карелия, 5
Курганская область, 5
Республика Крым, 5
Псковская область, 4
Архангельская область, 3
Забайкальский край, 3
Амурская область, 2
Республика Адыгея, 1
Республика Алтай, 1
Республика Тыва, 1
