Москва, 2297
Московская область, 728
СанктПетербург, 364
Нижегородская область, 315
Свердловская область, 283
Иркутская область, 229
Волгоградская область, 189
Ростовская область, 184
ХантыМансийский АО, 151
Республика Дагестан, 141
Архангельская область, 135
Челябинская область, 134
Астраханская область, 131
Красноярский край, 131
Тульская область, 113
Республика Саха (Якутия), 112
Воронежская область, 111
Новосибирская область, 105
Брянская область, 102
Ульяновская область, 101
Саратовская область, 96
Смоленская область, 92
Чувашская Республика, 88
Калужская область, 86
Пензенская область, 85
Краснодарский край, 84
Ставропольский край, 83
Белгородская область, 82
Ивановская область, 80
Ярославская область, 78
Республика Башкортостан, 77
КабардиноБалкарская Республика, 76
Рязанская область, 73
Новгородская область, 72
Липецкая область, 71
КарачаевоЧеркесская Республика, 70
Пермский край, 69
Кировская область, 68
Алтайский край, 67
Тамбовская область, 64
Курская область, 63
Псковская область, 63
Хабаровский край, 61
Республика Тыва, 60
Владимирская область, 59
Оренбургская область, 54
Приморский край, 54
Ленинградская область, 53
Республика Татарстан, 50
Республика Северная Осетия, 48
Тверская область, 46
Республика Бурятия, 46
Калининградская область, 45
Республика Ингушетия, 44
Мурманская область, 42
Орловская область, 41
Республика Марий Эл, 41
ЯмалоНенецкий АО, 40
Забайкальский край, 39
Республика Мордовия, 36
Самарская область, 36
Камчатский край, 32
Республика Коми, 30
Удмуртская Республика, 30
Томская область, 28
Кемеровская область, 25
Омская область, 24
Вологодская область, 23
Тюменская область, 23
Амурская область, 22
Республика Хакасия, 21
Республика Адыгея, 20
Республика Калмыкия, 20
Чеченская Республика, 20
Республика Карелия, 15
Костромская область, 14
Курганская область, 14
Республика Алтай, 10
Республика Крым, 10
Еврейская АО, 5
Севастополь, 4
Магаданская область, 3
Сахалинская область, 3
Ненецкий АО, 1
