Москва, 3075
Московская область, 523
СанктПетербург, 198
Республика Дагестан, 153
Республика Северная Осетия, 148
Рязанская область, 101
Нижегородская область, 89
Свердловская область, 85
Владимирская область, 79
Тульская область, 70
Калужская область, 67
Мурманская область, 67
Курская область, 65
Республика Татарстан, 65
Оренбургская область, 65
Ростовская область, 64
Воронежская область, 62
Республика Башкортостан, 61
Новосибирская область, 60
Орловская область, 53
Краснодарский край, 51
Челябинская область, 48
Ярославская область, 47
Красноярский край, 47
Смоленская область, 45
Приморский край, 45
Республика Ингушетия, 43
ХантыМансийский АО, 41
Калининградская область, 39
Чувашская Республика, 39
Пензенская область, 39
Ленинградская область, 38
КабардиноБалкарская Республика, 38
Республика Марий Эл, 38
Ставропольский край, 37
Кировская область, 35
Тамбовская область, 33
Республика Мордовия, 32
Саратовская область, 32
Белгородская область, 30
Ульяновская область, 29
Хабаровский край, 28
Брянская область, 26
Липецкая область, 26
Волгоградская область, 25
Костромская область, 22
Республика Хакасия, 22
Ненецкий автономный округ, 18
Чеченская Республика, 18
Республика Бурятия, 18
Пермский край, 17
Ивановская область, 14
Алтайский край, 14
КарачаевоЧеркесская Республика, 13
ЯмалоНенецкий АО, 12
Еврейская АО, 12
Омская область, 11
Новгородская область, 10
Тверская область, 9
Республика Калмыкия, 9
Республика Адыгея, 8
Астраханская область, 8
Самарская область, 8
Иркутская область, 8
Камчатский край, 8
Республика Коми, 7
Забайкальский край, 7
Республика Саха (Якутия), 7
Республика Карелия, 6
Архангельская область, 6
Вологодская область, 5
Удмуртская Республика, 5
Тюменская область, 5
Томская область, 5
Псковская область, 4
Кемеровская область, 4
г Севастополь, 3
Курганская область, 2
Республика Тыва, 1
Амурская область, 1
Магаданская область, 1
Сахалинская область, 1
Республика Крым, 1
