Москва, 4748
Московская область, 945
СанктПетербург, 541
Нижегородская область, 307
ЯмалоНенецкий АО, 115
Саратовская область, 113
Тульская область, 105
Свердловская область, 104
Ивановская область, 101
Челябинская область, 100
Краснодарский край, 99
Калужская область, 98
Республика Дагестан, 97
Рязанская область, 95
Иркутская область, 95
Волгоградская область, 90
Республика Башкортостан, 90
Ростовская область, 89
Владимирская область, 88
Республика Бурятия, 88
Брянская область, 87
Ярославская область, 87
Республика Татарстан, 84
Тамбовская область, 83
Чувашская Республика, 83
Курская область, 80
Белгородская область, 79
Республика Северная Осетия, 72
КабардиноБалкарская Республика, 71
Новосибирская область, 71
Ульяновская область, 69
Ленинградская область, 66
Орловская область, 65
Смоленская область, 61
Пензенская область, 61
Ставропольский край, 60
Мурманская область, 59
Самарская область, 56
Приморский край, 53
Хабаровский край, 52
Республика Калмыкия, 51
Астраханская область, 50
Пермский край, 50
Красноярский край, 48
Липецкая область, 47
Омская область, 47
Воронежская область, 46
Республика Марий Эл, 45
Тверская область, 44
Тюменская область, 39
ХантыМансийский АО, 39
Алтайский край, 38
Республика Ингушетия, 35
Республика Саха (Якутия), 35
Калининградская область, 33
Архангельская область, 32
Республика Адыгея, 31
Оренбургская область, 30
Республика Мордовия, 27
КарачаевоЧеркесская Республика, 26
Чеченская Республика, 26
Республика Тыва, 26
Республика Хакасия, 25
Забайкальский край, 22
Кировская область, 21
Костромская область, 19
Псковская область, 16
Республика Коми, 15
Вологодская область, 15
Новгородская область, 14
Кемеровская область, 14
Камчатский край, 14
Амурская область, 10
Томская область, 9
Курганская область, 8
Магаданская область, 8
Республика Карелия, 6
Удмуртская Республика, 6
Чукотский АО, 6
Республика Крым, 6
Еврейская АО, 4
Севастополь, 3
Ненецкий АО, 2
Республика Алтай, 2
Сахалинская область, 1
