Москва, 2026
Московская область, 578
Нижегородская область, 113
СанктПетербург, 86
Ростовская область, 60
Мурманская область, 46
Чеченская Республика, 45
Республика Башкортостан, 45
Орловская область, 43
Брянская область, 42
Калужская область, 40
Республика Дагестан, 39
Республика Ингушетия, 39
Республика Татарстан, 39
Ленинградская область, 37
Республика Мордовия, 35
Владимирская область, 34
Краснодарский край, 34
Чувашская Республика, 32
Хабаровский край, 30
Республика Марий Эл, 29
Саратовская область, 28
Ярославская область, 27
Тюменская область, 27
Тверская область, 26
Удмуртская Республика, 26
Республика Северная Осетия, 25
Пензенская область, 25
Воронежская область, 24
Курская область, 24
ЯмалоНенецкий АО, 24
Новосибирская область, 24
Белгородская область, 22
Рязанская область, 22
Тамбовская область, 22
Тульская область, 22
Ивановская область, 20
Липецкая область, 20
КарачаевоЧеркесская, 20
Кировская область, 19
Ульяновская область, 19
Республика Саха (Якутия), 19
Волгоградская область, 18
Пермский край, 17
Приморский край, 17
Смоленская область, 16
КабардиноБалкарская, 16
Самарская область, 16
Астраханская область, 13
ХантыМансийский АО, 13
Калининградская область, 12
Ставропольский край, 12
Алтайский край, 12
Республика Коми, 10
Новгородская область, 10
Челябинская область, 10
Иркутская область, 10
Республика Адыгея, 9
Забайкальский край, 9
Республика Карелия, 8
Псковская область, 8
Свердловская область, 8
Республика Хакасия, 8
Архангельская область, 7
Вологодская область, 7
Камчатский край, 7
Красноярский край, 6
Кемеровская область, 6
Костромская область, 4
Томская область, 4
Амурская область, 4
г Севастополь, 4
Республика Калмыкия, 3
Омская область, 3
Республика Алтай, 2
Еврейская АО, 2
