Москва, 1306
Московская область, 278
СанктПетербург, 69
Мурманская область, 61
Нижегородская область, 42
Краснодарский край, 31
Красноярский край, 25
Владимирская область, 23
Республика Мордовия, 23
Республика Башкортостан, 19
Брянская область, 18
Ивановская область, 18
Чеченская Республика, 17
Рязанская область, 16
Тамбовская область, 15
Пермский край, 15
Ярославская область, 14
Ростовская область, 14
Воронежская область, 12
ЯмалоНенецкий АО, 12
Республика Бурятия, 12
Чувашская Республика, 11
Амурская область, 11
Тюменская область, 9
Ставропольский край, 8
Астраханская область, 8
Ульяновская область, 8
Республика Северная Осетия, 7
Республика Марий Эл, 7
Саратовская область, 7
Белгородская область, 5
Липецкая область, 5
Калининградская область, 5
Ленинградская область, 5
КабардиноБалкарская Республика, 5
Волгоградская область, 5
Иркутская область, 5
Свердловская область, 4
Забайкальский край, 4
Костромская область, 3
Тульская область, 3
Вологодская область, 3
Самарская область, 3
Республика Саха (Якутия), 3
КарачаевоЧеркесская Республика, 2
Удмуртская Республика, 2
Омская область, 2
Республика Крым, 2
Курская область, 1
Кировская область, 1
Курганская область, 1
Приморский край, 1
