Москва, 5846
Московская область, 918
СанктПетербург, 375
Нижегородская область, 276
Свердловская область, 155
Краснодарский край, 99
Республика Дагестан, 96
Республика Северная Осетия, 94
Ленинградская область, 91
Тульская область, 90
Республика Башкортостан, 89
Тамбовская область, 85
Республика Татарстан, 83
КабардиноБалкарская Республика, 81
Волгоградская область, 80
Ростовская область, 80
Рязанская область, 79
Калужская область, 78
Ульяновская область, 76
Саратовская область, 74
Новосибирская область, 73
Брянская область, 72
Курская область, 71
Чувашская Республика, 68
Самарская область, 59
Ивановская область, 58
Орловская область, 58
Ярославская область, 58
Смоленская область, 56
Ставропольский край, 56
Республика Саха (Якутия), 52
Мурманская область, 50
Липецкая область, 49
Оренбургская область, 49
Владимирская область, 45
Пензенская область, 43
Челябинская область, 42
Республика Ингушетия, 41
Астраханская область, 40
Хабаровский край, 40
Белгородская область, 39
Калининградская область, 38
Республика Мордовия, 37
ЯмалоНенецкий АО, 36
Приморский край, 36
Воронежская область, 35
Кировская область, 32
ХантыМансийский АО, 32
Чеченская Республика, 31
Республика Марий Эл, 31
Красноярский край, 31
Псковская область, 27
Республика Калмыкия, 26
Тюменская область, 24
Костромская область, 22
Пермский край, 20
Новгородская область, 19
Республика Бурятия, 19
Архангельская область, 18
Иркутская область, 18
Алтайский край, 16
Тверская область, 15
КарачаевоЧеркесская Республика, 15
Республика Хакасия, 15
Омская область, 15
Томская область, 14
Республика Карелия, 13
Вологодская область, 12
Республика Коми, 11
Амурская область, 11
Еврейская АО, 11
Забайкальский край, 8
Магаданская область, 8
Республика Крым, 8
г Севастополь, 8
Республика Адыгея, 6
Кемеровская область, 6
Курганская область, 4
Камчатский край, 3
Ненецкий АО, 1
Удмуртская Республика, 1
Республика Алтай, 1
Республика Тыва, 1
