Москва, 3083
Московская область, 718
СанктПетербург, 127
Нижегородская область, 101
Свердловская область, 84
Тульская область, 75
Республика Башкортостан, 74
Красноярский край, 64
Ростовская область, 54
Республика Татарстан, 50
Республика Ингушетия, 46
Краснодарский край, 44
Ярославская область, 43
Алтайский край, 43
Ленинградская область, 42
Оренбургская область, 42
Республика Дагестан, 40
Чеченская Республика, 39
Тюменская область, 36
Мурманская область, 35
Республика Мордовия, 34
Тверская область, 33
Республика Северная, Осетия
Воронежская область, 31
Калужская область, 30
Брянская область, 29
Хабаровский край, 28
Рязанская область, 27
Удмуртская Республика, 26
Саратовская область, 26
Орловская область, 23
Волгоградская область, 23
Курская область, 22
Ставропольский край, 22
Пермский край, 22
Владимирская область, 21
Еврейская АО, 21
Липецкая область, 20
Республика Марий Эл, 20
Смоленская область, 19
Кировская область, 19
Республика Коми, 16
Пензенская область, 15
Челябинская область, 14
Тамбовская область, 13
Костромская область, 11
Белгородская область, 10
Ивановская область, 10
Чувашская Республика, 10
Республика Бурятия, 10
ХантыМансийский АО, 9
Республика Адыгея, 8
Самарская область, 8
Республика Хакасия, 8
Вологодская область, 7
Забайкальский край, 7
Приморский край, 7
Камчатский край, 7
Калининградская область, 6
Новгородская область, 6
Псковская область, 6
ЯмалоНенецкий АО, 6
Кемеровская область, 6
Омская область, 5
Архангельская область, 4
Республика Алтай, 4
Томская область, 4
Республика Саха (Якутия), 4
Республика Карелия, 3
Иркутская область, 3
Новосибирская область, 3
Курганская область, 2
Магаданская область, 2
Астраханская область, 1
Республика Крым, 1
г Севастополь, 1
